,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",68997,Matthias,Copacabana,-22.96599,-43.1794,Espaço Inteiro,350,5,267,1,257
1,24480,"Nice and cozy near Ipanema Beach, w/ home office",99249,Goya,Ipanema,-22.98405,-43.20189,Espaço Inteiro,296,3,85,1,107
2,25026,Beautiful Modern Decorated Studio in Copa,102840,Viviane,Copacabana,-22.97735,-43.19105,Espaço Inteiro,387,3,238,1,206
3,35636,Cosy flat close to Ipanema beach,153232,Patricia,Ipanema,-22.98839,-43.19232,Espaço Inteiro,172,2,181,1,207
4,35764,COPACABANA SEA BREEZE  -  RIO - 20 X Superhost,153691,Patricia Miranda & Paulo,Copacabana,-22.98107,-43.19136,Espaço Inteiro,260,3,378,1,58
5,48305,Bright 6bed Penthouse Seconds from Beach,70933,Goitaca,Ipanema,-22.98591,-43.20302,Espaço Inteiro,4217,2,91,9,325
6,48726,Rio de Janeiro Copacabana Ipanema,221941,Vana,Copacabana,-22.98528,-43.19264,Quarto Inteiro,114,3,42,2,26
7,48901,Confortable 4BD 3.5BT Atlantic avenue,222884,Marcio,Copacabana,-22.96574,-43.17514,Espaço Inteiro,2015,2,8,2,5
8,49179,Djalma Ocean View Studio with Amazing Views #100A,224192,David,Copacabana,-22.9791,-43.19008,Espaço Inteiro,380,3,106,36,161
9,50294,Ipanema Beach Block Suites Just Seconds from the Beach,70933,Goitaca,Ipanema,-22.98584,-43.20305,Espaço Inteiro,2310,2,74,9,330
10,50759,Casanova Residence great for shoots and events,393296342,Alex,Barra da Tijuca,-23.00451,-43.30873,Espaço Inteiro,3050,1,7,2,354
11,51703,"Ocean view, block of the beach, Copacabana,Ipanema",238091,Dália,Copacabana,-22.98234,-43.19164,Espaço Inteiro,693,3,188,2,321
12,53533,4BD JOATINGA-CASA LINDA w/POOL!  WALK TO BEACH🌺🌺🌺,249439,Sherri & Andre,Joá,-23.00809,-43.29113,Espaço Inteiro,2513,2,16,1,346
13,64795,Ipanema amazing 3 BDRs apartment.,93005,Andrea,Ipanema,-22.98169,-43.2028,Espaço Inteiro,1157,3,28,1,58
14,65546,"Beach Block 3bed Penthouse, Ipanema Best Location",70933,Goitaca,Ipanema,-22.98599,-43.20299,Espaço Inteiro,3325,2,67,9,331
15,66574,Beach apart in Rio (jan. 2022),326301,Frederic,Flamengo,-22.92837,-43.17473,Espaço Inteiro,220,4,1,1,321
16,66797,Studio Apart  for rent in ipanema.,328096,Carlos,Copacabana,-22.9824,-43.19593,Espaço Inteiro,380,3,226,2,231
17,68422,Copacabana Beach Living+AirConWiFi,339264,David,Copacabana,-22.98553,-43.18964,Quarto Inteiro,221,4,79,1,77
18,70080,Apart-hotel in Ipanema with service and garage,319672,Valeria,Ipanema,-22.9854,-43.19602,Espaço Inteiro,786,2,422,6,220
19,72900,IPANEMA-Steps2BEACH!,379211,Lc,Ipanema,-22.98467,-43.19941,Espaço Inteiro,851,5,14,1,210
20,76245,Spacious Home Heart of Rio290m4QT. Discount10%week,406651,Diogo,Copacabana,-22.98192,-43.19397,Espaço Inteiro,3149,2,127,1,221
21,76300,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1",406989,Casa 48 Guesthouse,Santa Teresa,-22.92742,-43.19464,Quarto Inteiro,225,7,215,6,269
22,77318,❤Unique RIO | retreat w/ forest view in hot spot,110002,Silvia,Gávea,-22.97766,-43.2311,Espaço Inteiro,373,5,37,1,0
23,80145,Stay in a small imperial castle !,432777,Andreas,Santa Teresa,-22.92456,-43.19028,Quarto Inteiro,243,2,14,2,360
24,86670,FRONTEIRA LEBLON/IPANEMA - VISTA FANTÁSTICA,474221,June,Leblon,-22.98361,-43.21827,Espaço Inteiro,690,2,92,6,34
25,86864,Apartamento Moderno e confortavel,476162,Simone,Copacabana,-22.98174,-43.19039,Espaço Inteiro,500,5,7,4,288
26,86978,Room For a Rent : Rio de Janeiro,476838,Antonio,Jacarepaguá,-22.97293,-43.38321,Quarto Inteiro,851,1,0,1,365
27,87762,Apartamento a 1 quadra da praia de Ipanema/Leblon,480527,Pablo,Ipanema,-22.98339,-43.21436,Espaço Inteiro,293,2,32,1,45
28,88528,COPACABANA - Lindo apartamento na quadra da praia,474221,June,Copacabana,-22.97794,-43.18969,Espaço Inteiro,460,2,71,6,279
29,88781,COPACABANA - ÓTIMA LOCALIZAÇÃO,474221,June,Copacabana,-22.97456,-43.18807,Espaço Inteiro,460,2,62,6,222
30,89862,COPACABANA - No melhor lugar,474221,June,Copacabana,-22.97607,-43.18926,Espaço Inteiro,448,2,47,6,175
31,89893,Exotic place in Rio de Janeiro.,483023,Geny,Laranjeiras,-22.94124,-43.19214,Quarto Inteiro,511,1,0,1,365
32,89981,IPANEMA  QUARTO + BANHEIRO PRIVADO,488707,Celia,Ipanema,-22.98088,-43.20042,Quarto Inteiro,227,3,167,1,240
33,94895,Quarto em Copacabana - temporada,506187,Sheila,Copacabana,-22.97256,-43.18948,Quarto Inteiro,163,1,7,3,326
34,96431,Amazing ocean view !,511850,Marina E Ernani,Barra da Tijuca,-23.01124,-43.37081,Espaço Inteiro,523,4,51,2,280
35,96478,APARTAMENT IN BOTAFOGO  BEAUTIFULL,530471,Hugo,Botafogo,-22.94656,-43.18176,Quarto Inteiro,170,4,0,3,334
36,97636,Rio de Janeiro for you! Go for it!,496656,Marcia  Longras,Botafogo,-22.94169,-43.18703,Quarto Inteiro,192,8,17,7,365
